Index,Developer,Video_Game_Name
0,Digital Eclipse,Mucha Lucha! Mascaritas of the Lost Code
1,Bandai,SD Gundam: Gashapon Wars
2,BEC,SD Gundam: Gashapon Wars
3,Brash Entertainment,Alvin and the Chipmunks
4,Fox Interactive,Alvin and the Chipmunks
5,Sensory Sweep Studios,Alvin and the Chipmunks
6,Paradox Interactive,Hearts of Iron III
7,Genki,Kengo: Legend of The 9
8,Majesco Entertainment,Kengo: Legend of The 9
9,Eidos Interactive,Kengo: Legend of The 9
10,Namco Bandai Games,Lupin Sansei: Shijou Saidai no Zunousen
11,Nex Entertainment,Lupin Sansei: Shijou Saidai no Zunousen
12,Bandai Namco Entertainment,Dark Souls III
13,FromSoftware,Dark Souls III
14,Black Bean Games,WRC 2: FIA World Rally Championship
15,CyberFront,WRC 2: FIA World Rally Championship
16,Plug In Digital,WRC 2: FIA World Rally Championship
17,Milestone,WRC 2: FIA World Rally Championship
18,WayForward Technologies,Tak: The Great Juju Challenge
19,Avalanche Software,Tak: The Great Juju Challenge
20,Altron,Tak: The Great Juju Challenge
21,THQ,Tak: The Great Juju Challenge
22,Konami,TMNT: Mutant Melee
23,Konami Computer Entertainment Hawaii,TMNT: Mutant Melee
24,Direct Action Games,Combat: Task Force 121
25,Groove Games,Combat: Task Force 121
26,Elastic,Goosebumps HorrorLand
27,Scholastic,Goosebumps HorrorLand
28,Ubisoft Shanghai,Disney's Donald Duck Advance
29,Myelin Media,Stacked with Daniel Negreanu
30,5000ft,Stacked with Daniel Negreanu
31,Otomate,Hakuouki: Yuugi Roku
32,Design Factory,Hakuouki: Yuugi Roku
33,Idea Factory,Hakuouki: Yuugi Roku
34,Sega,The Rub Rabbits!
35,Sonic Team,The Rub Rabbits!
36,Kodiak Interactive,Circus Maximus: Chariot Wars
37,Encore,Circus Maximus: Chariot Wars
38,Global Star Software,Serious Sam: Next Encounter
39,Climax Group,Serious Sam: Next Encounter
40,Red Storm Entertainment,Tom Clancy's Ghost Recon 2
41,Capcom,E.X. Troopers
42,HexaDrive,E.X. Troopers
43,Torus Games,The Croods: Prehistoric Party!
44,D3Publisher,The Croods: Prehistoric Party!
45,Namco Bandai Games,J Legend Retsuden
46,THQ,SpongeBob's Truth or Square
47,Barking Lizards Technologies,SpongeBob's Truth or Square
48,Kalypso Media,Port Royale 3
49,Gaming Minds Studios,Port Royale 3
50,Kalypso Media,Port Royale 3
51,Gaming Minds Studios,Port Royale 3
52,Agetec,The King of Fighters: Evolution
53,SNK,The King of Fighters: Evolution
54,Jamsworks,DS Uranai Seikatsu
55,Nintendo,DS Uranai Seikatsu
56,MTV Games,Rock Band Country Track Pack 2
57,Harmonix Music Systems,Rock Band Country Track Pack 2
58,Demiurge Studios,Rock Band Country Track Pack 2
59,Acclaim,All-Star Baseball 2004
60,Nihon Falcom,The Legend of Heroes: Trails in the Sky Third Chapter
61,XSEED Games,The Legend of Heroes: Trails in the Sky Third Chapter
62,Midway,Aqua Teen Hunger Force: Zombie Ninja Pro-Am
63,"Creat Studios, Inc.",Aqua Teen Hunger Force: Zombie Ninja Pro-Am
64,Activision,Generator Rex: Agent of Providence
65,D3Publisher,Dream Trigger 3D
66,ART,Dream Trigger 3D
67,Visual Concepts,NCAA College Football 2K3
68,Sega Sports R&D,NCAA College Football 2K3
69,Avalanche Software,NCAA College Football 2K3
70,Panic Button Games,NCAA College Football 2K3
71,Konami,Karaoke Revolution Party
72,Harmonix Music Systems,Karaoke Revolution Party
73,StudioBlack Games,Crayola: Colorful Journey
74,Crave Entertainment,Crayola: Colorful Journey
75,Brash Entertainment,Jumper: Griffin's Story
76,Redtribe,Jumper: Griffin's Story
77,Collision Studios,Jumper: Griffin's Story
78,Success Corporation,Operation Darkness
79,Atlus,Operation Darkness
80,Conspiracy Entertainment,Emily the Strange: Strangerous
81,Exozet Entertainment GmbH,Emily the Strange: Strangerous
82,Nintendo,Famicom Mini: Nazo no Murasame-Jou
83,Polygon Magic,Galerians: Ash
84,Enterbrain,Galerians: Ash
85,Deep Silver,Dead Island: Riptide
86,Techland,Dead Island: Riptide
87,Autumn Games,Jimmie Johnson's Anything With an Engine
88,Isopod Labs,Jimmie Johnson's Anything With an Engine
89,Irem,R-Type Command
90,Atlus,R-Type Command
91,Rising Star Games,R-Type Command
92,Ubisoft San Francisco,Just Dance: Disney Party 2
93,NOW Production,Just Dance: Disney Party 2
94,IO Interactive,Kane & Lynch 2: Dog Days
95,Nixxes Software,Kane & Lynch 2: Dog Days
96,Square Enix,Kane & Lynch 2: Dog Days
97,Capcom Production Studio 1,Haunting Ground
98,Capcom,Haunting Ground
99,Monochrome,Grand Kingdom
100,Spike Chunsoft,Grand Kingdom
101,NIS America,Grand Kingdom
102,Vogster Entertainment,Robocalypse
103,Tecmo,Robocalypse
104,D3 Publisher,Vampire Knight DS
105,Konami,Disney Sports Skateboarding
106,Destineer,Homie Rollerz
107,Sidhe Interactive,Rugby League 3
108,Tru Blue Entertainment,Rugby League 3
