Index,Developer,Video_Game_Name
0,Nintendo,Wii Sports
1,Nintendo EAD Software Development Group No.2,Wii Sports
2,Playtronic,Super Mario Bros.
3,Nintendo,Super Mario Bros.
4,Nintendo R&D4,Super Mario Bros.
5,Nintendo,Mario Kart Wii
6,Nintendo EAD,Mario Kart Wii
7,Nintendo,Wii Sports Resort
8,Nintendo EAD Software Development Group No.2,Wii Sports Resort
9,Nintendo,Tetris
10,Gradiente,Tetris
11,Playtronic,Tetris
12,ELORG,Tetris
13,Mani,Tetris
14,Nintendo EAD,New Super Mario Bros.
15,Nintendo,New Super Mario Bros.
16,iQue,New Super Mario Bros.
17,Nintendo,Wii Play
18,Nintendo EAD Software Development Group No.2,Wii Play
19,Nintendo,New Super Mario Bros. Wii
20,Nintendo EAD,New Super Mario Bros. Wii
21,Nintendo,Nintendogs
22,Nintendo EAD Software Development Group No.1,Mario Kart DS
23,Nintendo,Mario Kart DS
24,Nintendo,Wii Fit
25,Nintendo EAD Software Development Group No.5,Wii Fit
26,Microsoft Game Studios,Kinect Adventures!
27,Good Science Studio,Kinect Adventures!
28,Nintendo,Wii Fit Plus
29,Nintendo EAD Software Development Group No.5,Wii Fit Plus
30,Rockstar North,Grand Theft Auto V
31,Rockstar Games,Grand Theft Auto V
32,Take-Two Interactive,Grand Theft Auto V
33,Rockstar Toronto,Grand Theft Auto V
34,Rockstar North,Grand Theft Auto: San Andreas
35,Take-Two Interactive,Grand Theft Auto: San Andreas
36,Rockstar Games,Grand Theft Auto: San Andreas
37,TransGaming Inc.,Grand Theft Auto: San Andreas
38,Nintendo,Brain Age: Train Your Brain in Minutes a Day
39,Nintendo SPD Production Group No. 2,Brain Age: Train Your Brain in Minutes a Day
40,Nintendo R&D1,Super Mario Land
41,Nintendo,Super Mario Land
42,Playtronic,Super Mario Land
43,Mani,Super Mario Land
44,Rockstar North,Grand Theft Auto V
45,Rockstar Games,Grand Theft Auto V
46,Take-Two Interactive,Grand Theft Auto V
47,Rockstar Toronto,Grand Theft Auto V
48,Rockstar Games,Grand Theft Auto: Vice City
49,Rockstar North,Grand Theft Auto: Vice City
50,Rockstar Vienna,Grand Theft Auto: Vice City
51,Take-Two Interactive,Grand Theft Auto: Vice City
52,TransGaming Inc.,Grand Theft Auto: Vice City
53,Nintendo,Brain Age 2: More Training in Minutes a Day
54,Nintendo SPD Software Development Group,Brain Age 2: More Training in Minutes a Day
55,Nintendo SPD Production Group No. 2,Brain Age 2: More Training in Minutes a Day
56,Polyphony Digital,Gran Turismo 3: A-Spec
57,Sony Computer Entertainment,Gran Turismo 3: A-Spec
58,Raven Software,Call of Duty: Modern Warfare 3
59,Sledgehammer Games,Call of Duty: Modern Warfare 3
60,Infinity Ward,Call of Duty: Modern Warfare 3
61,Activision,Call of Duty: Modern Warfare 3
62,Nintendo,Pokémon Yellow: Special Pikachu Edition
63,Game Freak,Pokémon Yellow: Special Pikachu Edition
64,Gradiente,Pokémon Yellow: Special Pikachu Edition
65,Activision,Call of Duty: Black Ops 3
66,Treyarch,Call of Duty: Black Ops 3
67,Aspyr Media,Call of Duty: Black Ops 3
68,Activision,Call of Duty: Black Ops
69,Square Enix,Call of Duty: Black Ops
70,Treyarch,Call of Duty: Black Ops
71,Aspyr Media,Call of Duty: Black Ops
72,Treyarch,Call of Duty: Black Ops II
73,Activision,Call of Duty: Black Ops II
74,Square Enix,Call of Duty: Black Ops II
75,Treyarch,Call of Duty: Black Ops II
76,Activision,Call of Duty: Black Ops II
77,Square Enix,Call of Duty: Black Ops II
78,Infinity Ward,Call of Duty: Modern Warfare 2
79,SPOV,Call of Duty: Modern Warfare 2
80,The Ant Farm,Call of Duty: Modern Warfare 2
81,Earbash Inc.,Call of Duty: Modern Warfare 2
82,Shadows in Darkness,Call of Duty: Modern Warfare 2
83,Vykarian,Call of Duty: Modern Warfare 2
84,PCB Productions,Call of Duty: Modern Warfare 2
85,SIDE UK Ltd,Call of Duty: Modern Warfare 2
86,87eleven,Call of Duty: Modern Warfare 2
87,Xloc. inc,Call of Duty: Modern Warfare 2
88,Blade Games World,Call of Duty: Modern Warfare 2
89,"Ignited Minds, LLC",Call of Duty: Modern Warfare 2
90,Hamagami/Carroll Inc.,Call of Duty: Modern Warfare 2
91,Activision,Call of Duty: Modern Warfare 2
92,Raven Software,Call of Duty: Modern Warfare 3
93,Sledgehammer Games,Call of Duty: Modern Warfare 3
94,Infinity Ward,Call of Duty: Modern Warfare 3
95,Activision,Call of Duty: Modern Warfare 3
96,DMA Design,Grand Theft Auto III
97,Rockstar Games,Grand Theft Auto III
98,Rockstar Vienna,Grand Theft Auto III
99,Take-Two Interactive,Grand Theft Auto III
100,TransGaming Inc.,Grand Theft Auto III
101,Nintendo,Super Smash Bros. Brawl
102,Game Arts,Super Smash Bros. Brawl
103,Sora,Super Smash Bros. Brawl
104,Monolith Soft,Super Smash Bros. Brawl
105,HAL Laboratory,Super Smash Bros. Brawl
106,Paon,Super Smash Bros. Brawl
107,Intelligent Systems,Super Smash Bros. Brawl
108,Nintendo EAD Software Development Group No.1,Mario Kart 7
109,Nintendo,Mario Kart 7
110,iQue,Mario Kart 7
111,Activision,Call of Duty: Black Ops
112,Square Enix,Call of Duty: Black Ops
113,Treyarch,Call of Duty: Black Ops
114,Aspyr Media,Call of Duty: Black Ops
115,Rockstar North,Grand Theft Auto V
116,Rockstar Games,Grand Theft Auto V
117,Take-Two Interactive,Grand Theft Auto V
118,Rockstar Toronto,Grand Theft Auto V
119,Nintendo,Animal Crossing: Wild World
120,Nintendo EAD,Animal Crossing: Wild World
121,Bungie,Halo 3
122,Microsoft Game Studios,Halo 3
123,Nintendo,Super Mario 64
124,Nintendo EAD,Super Mario 64
125,Playtronic,Super Mario 64
126,Gradiente,Super Mario 64
127,Polyphony Digital,Gran Turismo 4
128,"Sony Computer Entertainment, Inc. (SCEI)",Gran Turismo 4
129,Nintendo EAD,Super Mario Galaxy
130,Nintendo,Super Mario Galaxy
131,Nintendo R&D1,Super Mario Land 2: 6 Golden Coins
132,Nintendo,Super Mario Land 2: 6 Golden Coins
133,Playtronic,Super Mario Land 2: 6 Golden Coins
134,Rockstar North,Grand Theft Auto IV
135,Rockstar Toronto,Grand Theft Auto IV
136,Rockstar Games,Grand Theft Auto IV
137,Take-Two Interactive,Grand Theft Auto IV
138,Polyphony Digital,Gran Turismo
139,Cyberhead,Gran Turismo
140,Sony Computer Entertainment,Gran Turismo
141,Nintendo EAD,Super Mario 3D Land
142,Brownie Brown,Super Mario 3D Land
143,Nintendo,Super Mario 3D Land
144,iQue,Super Mario 3D Land
145,Polyphony Digital,Gran Turismo 5
146,Sony Computer Entertainment,Gran Turismo 5
147,Infinity Ward,Call of Duty: Modern Warfare 2
148,SPOV,Call of Duty: Modern Warfare 2
149,The Ant Farm,Call of Duty: Modern Warfare 2
150,Earbash Inc.,Call of Duty: Modern Warfare 2
151,Shadows in Darkness,Call of Duty: Modern Warfare 2
152,Vykarian,Call of Duty: Modern Warfare 2
153,PCB Productions,Call of Duty: Modern Warfare 2
154,SIDE UK Ltd,Call of Duty: Modern Warfare 2
155,87eleven,Call of Duty: Modern Warfare 2
156,Xloc. inc,Call of Duty: Modern Warfare 2
157,Blade Games World,Call of Duty: Modern Warfare 2
158,"Ignited Minds, LLC",Call of Duty: Modern Warfare 2
159,Hamagami/Carroll Inc.,Call of Duty: Modern Warfare 2
160,Activision,Call of Duty: Modern Warfare 2
161,Nintendo EAD,Super Mario All-Stars
162,Nintendo,Super Mario All-Stars
163,Playtronic,Super Mario All-Stars
164,Hyundai,Super Mario All-Stars
165,Rockstar North,Grand Theft Auto IV
166,Rockstar Toronto,Grand Theft Auto IV
167,Rockstar Games,Grand Theft Auto IV
168,Take-Two Interactive,Grand Theft Auto IV
169,Nintendo EAD,Super Mario 64
170,Nintendo,Super Mario 64
171,iQue,Super Mario 64
172,Neversoft Entertainment,Call of Duty: Ghosts
173,Activision,Call of Duty: Ghosts
174,Infinity Ward,Call of Duty: Ghosts
175,Raven Software,Call of Duty: Ghosts
176,Treyarch,Call of Duty: Ghosts
177,Certain Affinity,Call of Duty: Ghosts
178,Ubisoft Paris,Just Dance 3
179,Ubisoft Entertainment,Just Dance 3
180,Nintendo,New Super Mario Bros. 2
181,Nintendo EAD,New Super Mario Bros. 2
182,Nintendo SPD,New Super Mario Bros. 2
183,Nintendo,Mario Kart 64
184,Nintendo EAD,Mario Kart 64
185,iQue,Mario Kart 64
186,Bungie,Halo: Reach
187,Microsoft Game Studios,Halo: Reach
188,343 Industries,Halo: Reach
189,Sony Computer Entertainment,Final Fantasy VII
190,Square Product Development Division 1,Final Fantasy VII
191,Square Enix,Final Fantasy VII
192,Square,Final Fantasy VII
193,343 Industries,Halo 4
194,Microsoft Studios,Halo 4
195,Polyphony Digital,Gran Turismo 2
196,Sony Computer Entertainment,Gran Turismo 2
197,Ubisoft Paris,Just Dance 2
198,Ubisoft Milan,Just Dance 2
199,Ubisoft Entertainment,Just Dance 2
200,Neversoft Entertainment,Call of Duty: Ghosts
201,Activision,Call of Duty: Ghosts
202,Infinity Ward,Call of Duty: Ghosts
203,Raven Software,Call of Duty: Ghosts
204,Treyarch,Call of Duty: Ghosts
205,Certain Affinity,Call of Duty: Ghosts
206,Infinity Ward,Call of Duty 4: Modern Warfare
207,Activision,Call of Duty 4: Modern Warfare
208,Rare,Donkey Kong Country
209,Nintendo,Donkey Kong Country
210,Playtronic,Donkey Kong Country
211,Gradiente,Donkey Kong Country
212,Hyundai,Donkey Kong Country
213,4J Studios,Minecraft
214,Nintendo,Animal Crossing: New Leaf
215,Nintendo EAD Software Development Group No.2,Animal Crossing: New Leaf
216,Hudson Soft,Mario Party DS
217,Nintendo,Mario Party DS
218,Bethesda Game Studios,The Elder Scrolls V: Skyrim
219,Bethesda Softworks,The Elder Scrolls V: Skyrim
220,Nintendo,Super Mario Kart
221,Nintendo EAD,Super Mario Kart
222,Gradiente,Super Mario Kart
223,Playtronic,Super Mario Kart
224,Hyundai,Super Mario Kart
225,EA Canada,FIFA 16
226,EA Sports,FIFA 16
227,Bungie,Halo 2
228,Microsoft Game Studios,Halo 2
