Index,Developer,Video_Game_Name
0,Otomate,AMNESIA World
1,Design Factory,AMNESIA World
2,Idea Factory,AMNESIA World
3,Graphic Research,Runabout 3: Neo Age
4,D3 Publisher,Runabout 3: Neo Age
5,Focus Entertainment,The Technomancer
6,Spiders,The Technomancer
7,Bandai Namco Entertainment Asia,Teddy Together
8,Nintendo of Europe,Teddy Together
9,Arika,Teddy Together
10,ArenaNet,Guild Wars: Nightfall
11,NCSOFT,Guild Wars: Nightfall
12,Paradigm Entertainment,Battlezone
13,EA Los Angeles,Medal of Honor: Vanguard
14,Budcat Creations,Medal of Honor: Vanguard
15,Electronic Arts,Medal of Honor: Vanguard
16,Compile Heart,Touch Shot! Love Application
17,Tamsoft Corporation,Touch Shot! Love Application
18,"Idea Factory Co., Ltd.",Touch Shot! Love Application
19,Tetragon,Nanotek Warrior
20,"Virgin Interactive Entertainment, Inc.",Nanotek Warrior
21,Virgin Interactive Entertainment (Japan),Nanotek Warrior
22,D3 Publisher,Galileo
23,Tomcat System,Galileo
24,Sega,Super Monkey Ball Adventure
25,Traveller's Tales,Super Monkey Ball Adventure
26,Exient Entertainment,Madden NFL 07
27,EA Sports,Madden NFL 07
28,Interplay Entertainment,Renegade Racers
29,Promethean Interactive,Renegade Racers
30,EA UK,MySims
31,Electronic Arts,MySims
32,EA Redwood Shores,MySims
33,Electronic Arts,The Sims 2: Bon Voyage
34,Maxis,The Sims 2: Bon Voyage
35,Aspyr Media,The Sims 2: Bon Voyage
36,Lexicon Entertainment,AniMates!
37,dk games,AniMates!
38,Lucasfilm Animation Singapore,Star Wars The Clone Wars: Republic Heroes
39,LucasArts,Star Wars The Clone Wars: Republic Heroes
40,Krome Studios,Star Wars The Clone Wars: Republic Heroes
41,Behaviour Interactive,The Peanuts Movie: Snoopy's Grand Adventure
42,Activision,The Peanuts Movie: Snoopy's Grand Adventure
43,DSI Games,Gauntlet / Rampart
44,Rockstar Games,Bully: Scholarship Edition
45,Rockstar Toronto,Bully: Scholarship Edition
46,Rockstar Vancouver,Bully: Scholarship Edition
47,Rockstar New England,Bully: Scholarship Edition
48,Take-Two Interactive,Bully: Scholarship Edition
49,505 Game Street,River King: Wonderful Journey
50,Natsume Inc.,River King: Wonderful Journey
51,Marvelous Interactive,River King: Wonderful Journey
52,WB Games,Justice League Heroes: The Flash
53,Eidos Interactive,Justice League Heroes: The Flash
54,WayForward Technologies,Justice League Heroes: The Flash
55,Natsume Inc.,Harvest Moon: Skytree Village
56,Rising Star Games,Harvest Moon: Skytree Village
57,Ensemble Studios,Age of Empires III: Gold Edition
58,Microsoft Game Studios,Age of Empires III: Gold Edition
59,Robot Entertainment,Age of Empires III: Gold Edition
60,MacSoft Games,Age of Empires III: Gold Edition
61,Groove Games,World War II Combat: Road To Berlin
62,Direct Action Games,World War II Combat: Road To Berlin
63,1C Company,World War II Combat: Road To Berlin
64,Success,Metal Saga
65,Crea-Tech,Metal Saga
66,Atlus,Metal Saga
67,DTP Entertainment,Divinity II: Flames of Vengeance
68,Larian Studios,Divinity II: Flames of Vengeance
69,Oxygen Games,CID The Dummy
70,Twelve Games,CID The Dummy
71,Electronic Arts,Battlefield 2142
72,EA Digital Illusions CE,Battlefield 2142
73,Longtail Studios,Imagine: Sweet 16
74,bitComposer Games,Air Conflicts: Secret Wars
75,Games Farm,Air Conflicts: Secret Wars
76,KalypsoMediaGroup,Air Conflicts: Secret Wars
77,Nippon Ichi Software,Tokushu Houdoubu
78,Tomy Corporation,My DoItAll
79,"Rocket Studio, Inc.",My DoItAll
80,VRIDGE,Shakugan no Shana
81,MediaWorks,Shakugan no Shana
82,Spike,Hokuto no Ken: Hokuto Shinken Denshousha no Michi
83,Capcom,Lost Planet 2
84,Bold Games,Kawasaki Snowmobiles
85,Data Design Interactive,Kawasaki Snowmobiles
86,Deep Silver,X3: Terran Conflict
87,Egosoft,X3: Terran Conflict
88,SNK Playmore,The King of Fighters: Maximum Impact - Maniax
89,SNK,The King of Fighters: Maximum Impact - Maniax
90,Noise Factory,The King of Fighters: Maximum Impact - Maniax
91,Ignition Entertainment,The King of Fighters: Maximum Impact - Maniax
92,Imagineer,Hankou Shashin
93,PROTOTYPE,Little Busters! Converted Edition
94,Key,Little Busters! Converted Edition
95,Ubisoft Entertainment,Open Season
96,Namco,Pro Yakyuu Family Stadium
97,Majesco Entertainment,Marker Man Adventures
98,Gravity Europe SAS,Agatha Christie's The ABC Murders
99,Artefacts Studio,Agatha Christie's The ABC Murders
100,Kalypso Media,Agatha Christie's The ABC Murders
101,Microids,Agatha Christie's The ABC Murders
102,Valcon Games,Ocean Commander
103,ZigZag Island,Let's Play Ballerina
104,Deep Silver,Let's Play Ballerina
105,Honeybee,Starry ? Sky: In Autumn
106,City Interactive,Combat Wings: The Great Battles of WWII
107,Evolved Games,Judge Dredd: Dredd Vs Death
108,Rebellion Developments,Judge Dredd: Dredd Vs Death
109,Sierra,Judge Dredd: Dredd Vs Death
110,Sierra Entertainment,SWAT 4
111,Vivendi Universal,SWAT 4
112,Irrational Games,SWAT 4
113,Livedoor,SWAT 4
114,Activision,SWAT 4
115,Otomate,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue
116,Idea Factory,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue
117,Design Factory,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue
118,"Alawar Entertainment, Inc.",Heroes of Hellas 2: Olympia
119,Jaibo Games,Heroes of Hellas 2: Olympia
120,Purple Hills,Heroes of Hellas 2: Olympia
121,Activision,X-Men Origins: Wolverine - Uncaged Edition
122,Raven Software,X-Men Origins: Wolverine - Uncaged Edition
123,Aspyr Media,Battlefield 1942
124,Electronic Arts,Battlefield 1942
125,Digital Illusions CE,Battlefield 1942
126,Rocket Company,Tenkaichi * Sengoku Lovers
127,EMIQ,Tenkaichi * Sengoku Lovers
128,Sega Corporation,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2
129,Marvelous Entertainment,Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu
130,Agetec,R-Type Delta
131,Irem,R-Type Delta
132,Otomate,Senjou no Waltz
133,Idea Factory,Senjou no Waltz
134,Otomate,Angelique: Maren no Rokukishi
135,Idea Factory,Angelique: Maren no Rokukishi
136,Reef Entertainment,Captain Morgane and the Golden Turtle
137,WizarBox,Captain Morgane and the Golden Turtle
138,Crave Entertainment,Napoleon Dynamite: The Game
139,7 Studios,Napoleon Dynamite: The Game
140,BEC,Soul Eater: Battle Resonance
141,Namco Bandai Games,Soul Eater: Battle Resonance
142,Conspiracy Entertainment,Rock 'N' Roll Adventures
143,Popcorn Arcade,Rock 'N' Roll Adventures
144,Data Design Interactive,Rock 'N' Roll Adventures
145,Arc System Works,BlazBlue: Chrono Phantasma Extend
146,Aksys Games,BlazBlue: Chrono Phantasma Extend
147,THQ Nordic,Legend of Kay Anniversary
148,Kaiko,Legend of Kay Anniversary
149,Nordic Games Group,Legend of Kay Anniversary
150,BEC,Evangelion: Jo
151,Namco Bandai Games,Evangelion: Jo
152,"Nerve Software, LLC",Duke Nukem 3D: 20th Anniversary World Tour
153,Gearbox Software,Duke Nukem 3D: 20th Anniversary World Tour
154,Gearbox Publishing,Duke Nukem 3D: 20th Anniversary World Tour
155,FuRyu, Beyblade Burst
156,Gas Powered Games,Dungeon Siege II
157,Microsoft Game Studios,Dungeon Siege II
158,Take-Two Interactive,Dungeon Siege II
159,Banpresto,Doki Oki
160,Kids Station,Gakuen Alice: WakuWaku * Happy Friends
161,Eidos Interactive,Battlestations: Pacific
162,Eidos Hungary,Battlestations: Pacific
163,Feral Interactive,Battlestations: Pacific
164,Robosoft Technologies,Battlestations: Pacific
165,Lightning Fish Games,Let's Dance with Mel B
166,Black Bean Games,Let's Dance with Mel B
167,Maximum Family Games,Let's Dance with Mel B
168,Ubisoft Entertainment,Let's Dance with Mel B
169,Acclaim Entertainment,ZooCube
170,Midas Interactive Entertainment,ZooCube
