Index,Developer,Video_Game_Name
0,Deep Silver,nail'd
1,Techland,nail'd
2,Acclaim Entertainment,Legends of Wrestling II
3,Taito,Lost Magic
4,Ubisoft Québec,Marvel Avengers: Battle for Earth
5,Harmonix Music Systems,Rock Band: Metal Track Pack
6,MTV Games,Rock Band: Metal Track Pack
7,Demiurge Studios,Rock Band: Metal Track Pack
8,Electronic Arts,Alice: Madness Returns
9,Spicy Horse Games,Alice: Madness Returns
10,Ivolgamus,Barbie as The Island Princess
11,Activision,Barbie as The Island Princess
12,Fox Interactive,Barbie as The Island Princess
13,Eidos Interactive,Backyard Wrestling 2: There Goes the Neighborhood
14,Midway Studios Los Angeles,Backyard Wrestling 2: There Goes the Neighborhood
15,Taito,Raiden IV
16,"MOSS Co., Ltd.",Raiden IV
17,UFO Interactive Software,Raiden IV
18,THQ,MX vs. ATV Untamed
19,Tantalus Media,MX vs. ATV Untamed
20,Ubisoft Toronto,Tom Clancy's Splinter Cell: Blacklist
21,Ubisoft Entertainment,Tom Clancy's Splinter Cell: Blacklist
22,Ubisoft Montreal,Tom Clancy's Splinter Cell: Blacklist
23,Ubisoft Shanghai,Tom Clancy's Splinter Cell: Blacklist
24,The Game Factory,Rubik's World
25,Two Tribes B.V.,Rubik's World
26,The Game Factory,Zenses: Ocean
27,Sega,Phantasy Star Universe
28,Sonic Team,Phantasy Star Universe
29,PopCap Games,Peggle: Dual Shot
30,Q Entertainment,Peggle: Dual Shot
31,Activision,NPPL: Championship Paintball 2009
32,Sand Grain Studios,NPPL: Championship Paintball 2009
33,Activision,Spider-Man: Edge of Time
34,Midway Games,Cruis'n
35,Just Games Interactive,Cruis'n
36,Raw Thrills,Cruis'n
37,Omega Force,Samurai Warriors 4-II
38,Koei Tecmo,Samurai Warriors 4-II
39,Konami,Castlevania: Curse of Darkness
40,Electronic Arts,SimAnimals Africa
41,Dingo,Love Live! School Idol Paradise
42,Kadokawa Corporation,Love Live! School Idol Paradise
43,Capcom,Lost Planet 3
44,Spark Unlimited,Lost Planet 3
45,Ubisoft Montreal,Battles of Prince of Persia
46,Actualize,Mobil 1 Rally Championship
47,Magnetic Fields,Mobil 1 Rally Championship
48,Creative Asylum,Mobil 1 Rally Championship
49,Destineer,USA Today Crossword Challenge
50,RFX Interactive,Turok: Evolution
51,Acclaim Entertainment,Turok: Evolution
52,Electronic Arts,Charm Girls Club: My Perfect Prom
53,Griptonite Games,Charm Girls Club: My Perfect Prom
54,Konami,Marvel Trading Card Game
55,THQ,Rugrats: Totally Angelica
56,ART,Rugrats: Totally Angelica
57,Tiertex Design Studios,Rugrats: Totally Angelica
58,Sega WOW,Nightshade
59,Sega,Nightshade
60,Crave Entertainment,Brunswick Pro Bowling
61,505 Games,Brunswick Pro Bowling
62,Point of View,Brunswick Pro Bowling
63,FarSight Studios,Brunswick Pro Bowling
64,369 Interactive,CSI: Crime Scene Investigation
65,Aspyr Media,CSI: Crime Scene Investigation
66,EPCConnect,CSI: Crime Scene Investigation
67,Behaviour Interactive,Wipeout 2
68,Activision,Wipeout 2
69,Feral Interactive,LEGO Batman 2: DC Super Heroes
70,Traveller's Tales,LEGO Batman 2: DC Super Heroes
71,WB Games,LEGO Batman 2: DC Super Heroes
72,Fox Interactive,Buffy the Vampire Slayer: Chaos Bleeds
73,Eurocom Entertainment Software,Buffy the Vampire Slayer: Chaos Bleeds
74,Vivendi Universal Games,Buffy the Vampire Slayer: Chaos Bleeds
75,D3 Publisher,Onechanbara: Bikini Zombie Slayers
76,Tamsoft,Onechanbara: Bikini Zombie Slayers
77,Haemimont Games,Tropico 5
78,Kalypso Media,Tropico 5
79,Square Enix,Tropico 5
80,Telenet Japan,Tales of Destiny 2
81,Namco Tales Studio,Tales of Destiny 2
82,Alfa System,Tales of Destiny 2
83,Namco,Tales of Destiny 2
84,Konami,Teenage Mutant Ninja Turtles 3: Mutant Nightmare
