Index,Developer,Video_Game_Name
0,LEVEL-5,Time Travelers
1,Capcom,Dead Rising
2,Capcom Production Studio 1,Dead Rising
3,QLOC,Dead Rising
4,Rockstar Games,Grand Theft Auto: Vice City
5,Rockstar North,Grand Theft Auto: Vice City
6,Rockstar Vienna,Grand Theft Auto: Vice City
7,Take-Two Interactive,Grand Theft Auto: Vice City
8,TransGaming Inc.,Grand Theft Auto: Vice City
9,Electronic Arts,Syndicate Wars
10,Bullfrog Productions,Syndicate Wars
11,Ubisoft Québec,Surf's Up
12,Ubisoft Montreal,Surf's Up
13,Sony Computer Entertainment of America,Surf's Up
14,Capcom,DuckTales: Remastered
15,Disney Interactive,DuckTales: Remastered
16,WayForward,DuckTales: Remastered
17,Big Ape Productions,Herc's Adventures
18,LucasArts,Herc's Adventures
19,3G Studios,SWAT: Target Liberty
20,Sierra Entertainment,SWAT: Target Liberty
21,Telltale Games,CSI: Fatal Conspiracy
22,Konami,Bomberman: Act Zero
23,Hudson Soft,Bomberman: Act Zero
24,Hudson Entertainment,Bomberman: Act Zero
25,Realtime Worlds,All Points Bulletin
26,Electronic Arts,All Points Bulletin
27,Mad Doc Software,Empire Earth III
28,Sierra Entertainment,Empire Earth III
29,High Voltage Software,Astro Boy: The Video Game
30,D3 Publisher,Astro Boy: The Video Game
31,Electronic Arts,The Sims 4: Spa Day
32,Maxis,The Sims 4: Spa Day
33,Telltale Games,Game of Thrones (Telltale)
34,Slant Six Games,Resident Evil: Operation Raccoon City
35,Capcom,Resident Evil: Operation Raccoon City
36,QLOC,Resident Evil: Operation Raccoon City
37,Experience Inc.,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden
38,5pb.,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden
39,NIS America,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden
40,Empire Interactive,Dreamfall: The Longest Journey
41,Aspyr Media,Dreamfall: The Longest Journey
42,Funcom,Dreamfall: The Longest Journey
43,Sonnet,Tokimeki Mahjong Paradise: Koi no Tenpai Beat
44,APOLLOSOFT,Blue Roses: Yousei to Aoi Hitomi no Senshitachi
45,Nippon Ichi Software,Blue Roses: Yousei to Aoi Hitomi no Senshitachi
46,Maximum Family Games,JASF: Jane's Advanced Strike Fighters
47,Trickstar Games,JASF: Jane's Advanced Strike Fighters
48,Activision,SpongeBob: HeroPants
49,Behaviour Interactive,SpongeBob: HeroPants
50,XS Games,PopStar Guitar
51,Broadsword Interactive,PopStar Guitar
52,Vingt et un Systems,The Adventures of Darwin
53,D3 Publisher,The Adventures of Darwin
54,Koei Tecmo Games,Berserk and the Band of the Hawk
