Index,Developer,Video_Game_Name
0,Scholastic,My Amusement Park
1,Other Ocean Interactive,My Amusement Park
2,PlayFirst,Chocolatier
3,"Big Splash Games, LLC",Chocolatier
4,Sonic Team,Phantasy Star Online Episode I & II Plus
5,Sega,Phantasy Star Online Episode I & II Plus
6,Papaya Studio,Coraline
7,D3 Publisher,Coraline
8,2K Sports,Major League Baseball 2K11
9,Visual Concepts,Major League Baseball 2K11
10,Take-Two Interactive,Major League Baseball 2K11
11,"h.a.n.d., Inc.",Front Mission 2089: Border of Madness
12,Square Enix,Front Mission 2089: Border of Madness
13,MSF/Winds,Front Mission 2089: Border of Madness
14,Matrix Software,Dual Hearts
15,Atlus,Dual Hearts
16,Acclaim Entertainment,NFL Quarterback Club 2002
17,Konami,Xiaolin Showdown
18,WB Games,Xiaolin Showdown
19,BottleRocket Entertainment,Xiaolin Showdown
20,Razorback Developments,Xiaolin Showdown
21,5pb.,Chaos;Child
22,PQube,Chaos;Child
23,Paradox Development Studio,Hearts of Iron IV
24,Paradox Interactive,Hearts of Iron IV
25,Destination Software,Wing Commander: Prophecy
26,Raylight Studios,Wing Commander: Prophecy
27,DreamCatcher Interactive,Drivers Ed Portable
28,The Collective,Marc Ecko's Getting Up: Contents Under Pressure
29,General Arcade,Marc Ecko's Getting Up: Contents Under Pressure
30,Devolver Digital,Marc Ecko's Getting Up: Contents Under Pressure
31,"Atari, Inc.",Marc Ecko's Getting Up: Contents Under Pressure
32,Legacy Interactive,"Murder, She Wrote"
33,Mystery Studio,"Murder, She Wrote"
34,Sega,Captain America: Super Soldier
35,High Voltage Software,Captain America: Super Soldier
36,Sega,Captain America: Super Soldier
37,High Voltage Software,Captain America: Super Soldier
38,Sega,Sega Soccer Slam
39,Black Box Games,Sega Soccer Slam
40,CI Games,Enemy Front
41,Otomate,Hakuouki: Reimeiroku
42,Design Factory,Hakuouki: Reimeiroku
43,Idea Factory,Hakuouki: Reimeiroku
44,Icon Games Entertainment,Vertigo
45,Playlogic Entertainment,Vertigo
46,Eidos Interactive,Blood Omen 2
47,Crystal Dynamics,Blood Omen 2
48,Nixxes Software,Blood Omen 2
49,Empire Interactive,Unsolved Crimes
50,Koei,Shin Sangoku Musou 5 Empires
51,Omega Force,Shin Sangoku Musou 5 Empires
52,Graffiti Entertainment,Air Conflicts: Aces of World War II
53,Cowboy Rodeo,Air Conflicts: Aces of World War II
54,Global Star Software,Carve
55,Argonaut Games,Carve
56,Majesco Entertainment,BlowOut
57,Terminal Reality,BlowOut
58,Namco Bandai Games,GunPey
59,Square Enix,Front Mission Evolved
60,Double Helix Games,Front Mission Evolved
61,Konami,WTA Tour Tennis
62,Koei,Dynasty Warriors 5
63,Omega Force,Dynasty Warriors 5
64,Omega Force,Samurai Warriors 4-II
65,Koei Tecmo,Samurai Warriors 4-II
66,Nintendo,Famicom Mini: Dig Dug
67,EA Sports,FIFA Soccer 2003
68,Vicious Cycle Software,Adventure Time: Finn & Jake Investigations
69,Little Orbit,Adventure Time: Finn & Jake Investigations
70,Nippon Ichi Software,Uta no Prince-Sama: Music 3
71,Broccoli,Uta no Prince-Sama: Music 3
72,Crave Entertainment,Defendin' De Penguin
73,Airtight Games,Murdered: Soul Suspect
74,Square Enix,Murdered: Soul Suspect
75,Racjin,Bleach: Blade Battlers
76,Sony Computer Entertainment,Bleach: Blade Battlers
77,United Game Artists,Rez
78,Sega,Rez
79,WayForward,Goosebumps: The Game
80,GameMill Entertainment,Goosebumps: The Game
81,Atelier Double,Lufia: The Ruins of Lore
82,Taito,Lufia: The Ruins of Lore
83,Atlus,Lufia: The Ruins of Lore
84,Electronic Arts,UEFA Euro 2004: Portugal
85,EA Canada,UEFA Euro 2004: Portugal
86,Kalypso Media,Airline Tycoon 2
87,b-alive,Airline Tycoon 2
88,Empire Interactive,Taito Legends Power Up
89,Xplosiv,Taito Legends Power Up
90,Destineer,Taito Legends Power Up
91,Bandai,Shaman King: Soul Fight
92,Tuning Electronic,Shaman King: Soul Fight
93,Bandai,Samurai Deeper Kyo
94,(Archive) Ubisoft US,Petz Bunnyz Bunch
95,Tokyo RPG Factory,Project Setsuna
96,Square Enix,Project Setsuna
97,Natsume Inc.,Medabots: Infinity
98,"Natsume Co., Ltd.",Medabots: Infinity
99,Milestone,MotoGP 15
100,Nippon Ichi Software,Criminal Girls 2
101,Matrix Software,Omega Labyrinth
102,D3 Publisher,Omega Labyrinth
103,Infogrames,Zapper: One Wicked Cricket!
104,Blitz Games,Zapper: One Wicked Cricket!
105,Atomic Planet Entertainment,Zapper: One Wicked Cricket!
106,XS Games,PopStar Guitar
107,Broadsword Interactive,PopStar Guitar
108,Tamsoft,Bust-A-Bloc
109,D3 Publisher,Bust-A-Bloc
110,UFO Interactive Games,Pucca Power Up
111,Barunson Creative,Pucca Power Up
112,Asobo Studio,Sitting Ducks
113,LSP,Sitting Ducks
114,The Code Monkeys,Sitting Ducks
115,Hip Games,Sitting Ducks
116,Sonic Team,Puyo Puyo 7
117,"h.a.n.d., Inc.",Puyo Puyo 7
118,Sega Corporation,Puyo Puyo 7
119,1C: Maddox Games,IL-2 Sturmovik: Cliffs of Dover
120,Midway Games,NFL Blitz Pro
121,Fresh3D,Mountain Bike Adrenaline
122,Nobilis,Mountain Bike Adrenaline
123,Valcon Games,Mountain Bike Adrenaline
124,Konami,Death Jr. II: Root of Evil
125,Eidos Interactive,Death Jr. II: Root of Evil
126,Backbone Entertainment,Death Jr. II: Root of Evil
127,Activision,Wakeboarding Unleashed Featuring Shaun Murray
128,Shaba Games,Wakeboarding Unleashed Featuring Shaun Murray
129,Inti Creates,Mighty No. 9
130,Abstraction Games,Mighty No. 9
131,Comcept,Mighty No. 9
132,Deep Silver,Mighty No. 9
133,Grasshopper Manufacture,Samurai Champloo: Sidetracked
134,NAMCO BANDAI Games Inc.,Samurai Champloo: Sidetracked
135,Koei Tecmo,Dead or Alive Xtreme 3: Fortune
136,Game Freak,Drill Dozer
137,Nintendo,Drill Dozer
138,SNK,Fatal Fury: Wild Ambition
139,EA Los Angeles,Medal of Honor: Airborne
140,Electronic Arts,Medal of Honor: Airborne
141,Pegasus Japan,Dengeki Gakuen RPG: Cross of Venus
142,ASCII Media Works,Dengeki Gakuen RPG: Cross of Venus
143,Namco Bandai Games,Minna no Ennichi
144,UFO Interactive Software,Domino Rally
145,Success Corporation,Domino Rally
146,Red Entertainment,Domino Rally
147,Nordcurrent,Domino Rally
148,Kouyousha,Domino Rally
149,Konami,King Arthur
150,DreamCatcher Interactive,Arcania: Gothic 4
151,CyberFront,Arcania: Gothic 4
152,JoWooD Entertainment AG,Arcania: Gothic 4
153,Spellbound Entertainment,Arcania: Gothic 4
154,Trinigy,Arcania: Gothic 4
155,Mindscape,Countdown: The Game
156,Arc System Works,Rockin' Pretty
157,505 Games,Rockin' Pretty
158,Aksys Games,Rockin' Pretty
159,CyberFront,Rockin' Pretty
160,Digitalmindsoft,Men of War: Assault Squad
161,Atlus,Persona 2: Eternal Punishment
162,Dragonstone Software,Dragon's Lair 3D: Return to the Lair
163,Atlus USA,Rhapsody: A Musical Adventure
164,Nippon Ichi Software,Rhapsody: A Musical Adventure
165,NIS America,Rhapsody: A Musical Adventure
166,Ubisoft Montreal,Myst IV: Revelation
167,Cyan Worlds,Myst IV: Revelation
168,Namco,The Nightmare of Druaga: Fushigino Dungeon
169,Chunsoft,The Nightmare of Druaga: Fushigino Dungeon
170,Matrix Software,The Nightmare of Druaga: Fushigino Dungeon
171,Arika,The Nightmare of Druaga: Fushigino Dungeon
172,Techland,Dead Island Definitive Collection
173,Deep Silver,Dead Island Definitive Collection
174,Inti Creates,PAC-MAN and the Ghostly Adventures
175,Monkey Bar Games,PAC-MAN and the Ghostly Adventures
176,Namco Bandai Games,PAC-MAN and the Ghostly Adventures
177,Amusement Vision,Virtua Striker 2002
178,Kylotonn Games,WRC 5: FIA World Rally Championship
179,Plug In Digital,WRC 5: FIA World Rally Championship
180,Bigben Interactive,WRC 5: FIA World Rally Championship
181,WayForward Technologies,Centipede: Infestation
182,"Atari, Inc.",Centipede: Infestation
183,Codemasters Birmingham,F1 2015
184,Codemasters,F1 2015
185,Felistella,Luminous Arc Infinity
186,Marvelous,Luminous Arc Infinity
187,(Archive) Ubi Soft,Disney's PK: Out of the Shadows
188,Playlogic Entertainment,Aliens in the Attic
189,Revistronic,Aliens in the Attic
190,Namco Bandai Games,The Idolmaster 2
191,inXile Entertainment,Hunted: The Demon's Forge
192,Bethesda Softworks,Hunted: The Demon's Forge
193,DreamCatcher Games,Dreamer Series: Puppy Trainer
194,SCE London Studio,SingStar Mallorca Party
195,Sony Computer Entertainment Europe,SingStar Mallorca Party
196,Konami,Pro Yakyuu Spirits 5 Kanzenban
197,Omega Force,Shin Sangoku Musou 5 Special
198,Koei,Shin Sangoku Musou 5 Special
199,Majesco Entertainment,Major Minor's Majestic March
200,Square Enix,Major Minor's Majestic March
201,NanaOn-Sha,Major Minor's Majestic March
202,Sega,Otogi 2: Immortal Warriors
203,FromSoftware,Otogi 2: Immortal Warriors
204,Capcom,Legend of Kay
205,NEON Software,Legend of Kay
206,Take-Two Interactive,Piglet's Big Game
207,THQ,Piglet's Big Game
208,Gotham Games,Piglet's Big Game
209,DokiDenki Studio,Piglet's Big Game
210,Disney Interactive Studios,Piglet's Big Game
211,Ubisoft Bucharest,Tom Clancy's HAWX 2
212,Popcorn Arcade,Myth Makers: Orbs of Doom
213,Bold Games,Myth Makers: Orbs of Doom
214,Data Design Interactive,Myth Makers: Orbs of Doom
215,Interplay,Fallout: Brotherhood of Steel
216,sprite,Koi to Senkyo to Chocolate Portable
217,VRIDGE,Koi to Senkyo to Chocolate Portable
218,ASCII Media Works,Koi to Senkyo to Chocolate Portable
219,Indianapolis 500,IndyCar Series
220,Codemasters,IndyCar Series
221,The Game Factory,Strawberry Shortcake: Strawberryland Games
222,Gorilla Systems Corporation,Strawberry Shortcake: Strawberryland Games
223,Activision,Rally Fusion: Race of Champions
224,Climax Brighton,Rally Fusion: Race of Champions
225,PlatinumGames,Teenage Mutant Ninja Turtles: Mutants in Manhattan
226,Activision,Teenage Mutant Ninja Turtles: Mutants in Manhattan
227,Focus Entertainment,Sherlock Holmes: Crimes & Punishments
228,Frogwares,Sherlock Holmes: Crimes & Punishments
229,Maximum Games,Sherlock Holmes: Crimes & Punishments
230,THQ,Piglet's Big Game
231,Tripwire Interactive,Killing Floor 2 
232,Deep Silver,Killing Floor 2 
233,Iceberg Interactive,Killing Floor 2 
234,Crave Entertainment,Pinball Hall of Fame: The Gottlieb Collection
235,System 3 Software,Pinball Hall of Fame: The Gottlieb Collection
236,FarSight Studios,Pinball Hall of Fame: The Gottlieb Collection
237,Sega AM2,Ferrari F355 Challenge
238,Tose,Ferrari F355 Challenge
239,Sega,Ferrari F355 Challenge
240,Acclaim Entertainment,Ferrari F355 Challenge
241,CRI Middleware,Ferrari F355 Challenge
242,Sony Computer Entertainment Europe,Ferrari F355 Challenge
243,Vicious Cycle Software,Adventure Time: Finn & Jake Investigations
244,Little Orbit,Adventure Time: Finn & Jake Investigations
245,Tate Interactive,My Horse & Me: Riding for Gold
246,"Atari, Inc.",My Horse & Me: Riding for Gold
247,NetherRealm Studios,Mortal Kombat X
248,WB Games,Mortal Kombat X
249,Paradox Interactive,Cities in Motion
250,Colossal Order,Cities in Motion
251,The 3DO Company,Shifters
252,MumboJumbo,Samantha Swift and the Hidden Roses of Athena
253,Enterbrain,RPG Tsukuru DS
254,Sting,To Heart 2: Dungeon Travelers
255,Aquaplus,To Heart 2: Dungeon Travelers
256,DMM GAMES,To Heart 2: Dungeon Travelers
257,Shiravune,To Heart 2: Dungeon Travelers
258,Omega Force,Bladestorm: Nightmare
259,Koei Tecmo Games,Bladestorm: Nightmare
260,SouthPeak Interactive,TNA iMPACT: Cross the Line
261,Point of View,TNA iMPACT: Cross the Line
262,DoubleTap Games,TNA iMPACT: Cross the Line
263,Blue Castle Games,The BIGS 2
264,2K Sports,The BIGS 2
265,Keen Games,Sacred 3
266,Deep Silver,Sacred 3
267,"Griptonite, Inc.",Captain America: Super Soldier
268,Sega,Captain America: Super Soldier
269,"Griptonite, Inc.",Captain America: Super Soldier
270,Sega,Captain America: Super Soldier
271,DTP Entertainment,Venetica
272,Deck13 Interactive,Venetica
273,"Atari, Inc.",Venetica
274,Codemasters Southam,Operation Flashpoint: Dragon Rising
275,Codemasters,Operation Flashpoint: Dragon Rising
276,Arc System Works,Princess on Ice
277,Aksys Games,Princess on Ice
278,ZOOM,Lagoon
279,Kemco,Lagoon
280,Seika Corporation,Lagoon
281,Warner Bros. Interactive Entertainment,Sesame Street: Cookie's Counting Carnival
282,Black Lantern Studios,Sesame Street: Cookie's Counting Carnival
283,inXile Entertainment,Wasteland 2
284,Deep Silver,Wasteland 2
