Index,Developer,Video_Game_Name
0,Sony Computer Entertainment,High Velocity Bowling
1,TT Games,LEGO Harry Potter Collection
2,WB Games,LEGO Harry Potter Collection
3,Double Eleven,LEGO Harry Potter Collection
4,Warner Bros. Interactive Entertainment,LEGO Harry Potter Collection
5,Konami,Power Pro Kun Pocket 9
6,Sega AM2,Shenmue II
7,Rutubo Games,Shenmue II
8,Sega,Shenmue II
9,Microsoft Game Studios,Shenmue II
10,FromSoftware,Armored Core: For Answer
11,Ubisoft Entertainment,Armored Core: For Answer
12,2K Sports,Major League Baseball 2K8
13,Kush Games,Major League Baseball 2K8
14,Take-Two Interactive,Major League Baseball 2K8
15,Black Ops Entertainment,Fugitive Hunter: War on Terror
16,Sierra Entertainment,The Incredible Hulk: Ultimate Destruction
17,Radical Entertainment,The Incredible Hulk: Ultimate Destruction
18,Destineer,Candace Kane's Candy Factory
19,TransGaming Inc.,Prince of Persia: The Two Thrones
20,Ubisoft Entertainment,Prince of Persia: The Two Thrones
21,Ubisoft Casablanca,Prince of Persia: The Two Thrones
22,Ubisoft Montreal,Prince of Persia: The Two Thrones
23,Ubisoft Bucharest,Blazing Angels 2: Secret Missions of WWII
24,guyzware,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable
25,Banpresto,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable
26,Namco Bandai Games,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable
27,Blitz Games,Pac-Man World 3
28,Namco,Pac-Man World 3
29,Terminal Reality,SNK Arcade Classics Vol. 1
30,SNK Playmore USA,SNK Arcade Classics Vol. 1
31,Ignition Entertainment,SNK Arcade Classics Vol. 1
32,SNK Playmore,SNK Arcade Classics Vol. 1
33,Sonic Team,Phantasy Star Online Episode I & II
34,Sega,Phantasy Star Online Episode I & II
35,Acclaim Entertainment,All-Star Baseball 2005
36,Acclaim Studios Austin,All-Star Baseball 2005
37,NIS America,The Legend of Heroes: Trails of Cold Steel II
38,Nihon Falcom,The Legend of Heroes: Trails of Cold Steel II
39,XSEED Games,The Legend of Heroes: Trails of Cold Steel II
40,"Marvelous USA, Inc.",The Legend of Heroes: Trails of Cold Steel II
41,Telltale Games,Sam & Max: Season One
42,The Adventure Company,Sam & Max: Season One
43,JoWooD Productions Software,Sam & Max: Season One
44,HB Studios Multimedia Ltd.,Backyard Sports: Sandlot Sluggers
45,"Atari, Inc.",Backyard Sports: Sandlot Sluggers
46,Eurocom Entertainment Software,Batman Begins
47,Electronic Arts,Batman Begins
48,Her Interactive,Nancy Drew: The White Wolf of Icicle Creek
49,Sega,Nancy Drew: The White Wolf of Icicle Creek
50,Traveller's Tales,Toy Story Racer
51,Tiertex Design Studios,Toy Story Racer
52,Activision,Toy Story Racer
53,Ubisoft Shanghai,Disney's Donald Duck: Goin' Quackers
54,Polygon Magic,Galerians
55,ASCII Entertainment,Galerians
56,Crave Entertainment,Galerians
57,Nihon Falcom,Ys: The Oath in Felghana
58,ScriptArts,Ys: The Oath in Felghana
59,XSEED Games,Ys: The Oath in Felghana
60,Taito,Ys: The Oath in Felghana
61,Traveller's Tales,Crash: Twinsanity
62,Vivendi Universal Games,Crash: Twinsanity
63,Sierra Entertainment,Crash: Twinsanity
64,Konami,We Dance
65,Activision,Space Camp
66,7 Studios,Space Camp
67,Konami,DrumMania
68,Bemani,DrumMania
69,THQ,SpongeBob's Truth or Square
70,Altron,SpongeBob's Truth or Square
71,Dimps,Tamagotchi no Narikiri Channel
72,BANDAI NAMCO Games Inc,Tamagotchi no Narikiri Channel
73,EA Sports,Arena Football
74,Netherock Ltd.,Medal of Honor: Infiltrator
75,Electronic Arts,Medal of Honor: Infiltrator
76,Activision,Skylanders: SuperChargers
77,Beenox,Skylanders: SuperChargers
78,Illusions Gaming Company,Blazing Dragons
79,Crystal Dynamics,Blazing Dragons
