Index,Developer,Video_Game_Name
0,Hudson Soft,Bomberman 2
1,MacSoft Games,Unreal Tournament 2004
2,Digital Extremes,Unreal Tournament 2004
3,Psyonix,Unreal Tournament 2004
4,Epic Games,Unreal Tournament 2004
5,Streamline Studios,Unreal Tournament 2004
6,"Atari, Inc.",Unreal Tournament 2004
7,D3 Publisher,Cube
8,Metia Interactive,Cube
9,Flying Lab Software,Pirates of the Burning Sea
10,Sony Online Entertainment,Pirates of the Burning Sea
11,Portalus Games,Pirates of the Burning Sea
12,Avalanche Studios,Just Cause
13,Eidos Interactive,Just Cause
14,Global Star Software,Army Men: Major Malfunction
15,Team17,Army Men: Major Malfunction
16,5pb.,Dunamis 15
17,VRIDGE,Storm Lover 2nd V
18,D3 Publisher,Storm Lover 2nd V
19,Idea Factory,Reine des Fleurs
20,Design Factory,Reine des Fleurs
21,Otomate,Reine des Fleurs
22,Taito,Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen
23,Taito GM R&D Sect. #2,Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen
24,D3Publisher,Turbo: Super Stunt Squad
25,Monkey Bar Games,Turbo: Super Stunt Squad
26,KTX Software,The Haunted: Hell's Reach
27,Signo & Arte,The Haunted: Hell's Reach
28,Akella,Disciples III: Renaissance
29,.dat,Disciples III: Renaissance
30,Kalypso Media,Disciples III: Renaissance
31,Funcom,The Longest Journey
32,Empire Interactive,The Longest Journey
33,Konami,Let's Pilates!
34,Vanpool,Let's Pilates!
35,Saurus,Irritating Stick
36,Jaleco,Irritating Stick
37,Konami,WTA Tour Tennis
38,NOW Production,WTA Tour Tennis
39,Ubisoft Montreal,Lost: Via Domus
40,Ubisoft Entertainment,Lost: Via Domus
41,Evolved Games,Judge Dredd: Dredd Vs Death
42,Rebellion Developments,Judge Dredd: Dredd Vs Death
43,Sierra,Judge Dredd: Dredd Vs Death
44,Big Ant Studios,Rugby League Live 3
45,Tru Blu Games,Rugby League Live 3
46,D3Publisher,Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu
47,KISS ltd,Platypus
48,Squashy Software,Platypus
49,Banpresto,Kimi ni Todoke: Sodateru Omoi
50,Bandai Namco Entertainment Inc.,Kimi ni Todoke: Sodateru Omoi
51,Storm City Games,Hands On! Tangrams
52,Enjoy Gaming Ltd.,Hands On! Tangrams
53,Bandai Namco Holdings,Brave Story: Boku no Kioku to Negai
54,D3 Publisher,Zombie Hunters 2
55,Tamsoft,Zombie Hunters 2
56,Essential Games,Zombie Hunters 2
57,5pb.,Memories Off #5: Encore
58,VRIDGE,Custom Drive
59,D3Publisher,Custom Drive
60,Airtight Games,Dark Void
61,Capcom,Dark Void
62,Iron Galaxy Studios,Dark Void
63,Aspyr Media,LEGO Star Wars: The Video Game
64,LucasArts,LEGO Star Wars: The Video Game
65,Eidos Interactive,LEGO Star Wars: The Video Game
66,Giant Interactive Entertainment,LEGO Star Wars: The Video Game
67,i5works,LEGO Star Wars: The Video Game
68,Traveller's Tales,LEGO Star Wars: The Video Game
69,Candy Soft,Tsuyo Kiss 2 Gakki: Swift Love
70,Sega,Samurai Jack: The Shadow of Aku
71,Amaze Entertainment,Samurai Jack: The Shadow of Aku
72,FromSoftware,Cookie & Cream
73,THQ,The Incredibles: Rise of the Underminer
74,Heavy Iron Studios,The Incredibles: Rise of the Underminer
75,Otomate,Psychedelica of the Black Butterfly
76,Aksys Games,Psychedelica of the Black Butterfly
77,Intragames,Psychedelica of the Black Butterfly
78,Idea Factory,Psychedelica of the Black Butterfly
79,Firefly Studios,Stronghold Legends
80,2K Games,Stronghold Legends
81,Marvelous Entertainment,Busou Renkin: Youkoso Papillon Park e
82,Shade,Busou Renkin: Youkoso Papillon Park e
83,Sega,Puyo Puyo Tetris
84,Sonic Team,Puyo Puyo Tetris
85,Bitbaboon,Puyo Puyo Tetris
86,Otomate,Collar x Malice
87,Design Factory,Collar x Malice
88,Aksys Games,Collar x Malice
89,Idea Factory,Collar x Malice
90,JoWooD Productions Software,Kao the Kangaroo Round 2
91,Tate Interactive,Kao the Kangaroo Round 2
92,"Atari, Inc.",Kao the Kangaroo Round 2
93,Majesco Entertainment,Pirates PlundArrr
94,Boomzap Entertainment,Pirates PlundArrr
95,THQ,Zoey 101: Field Trip Fiasco
96,D3Publisher,Dream C Club: GoGo 
97,Tamsoft,Dream C Club: GoGo 
98,D3 Publisher,Dream C Club: GoGo 
99,Aquaplus,White Album 2: Shiawase no Mukougawa
100,Sting,White Album 2: Shiawase no Mukougawa
101,NovaLogic,Joint Operations: Combined Arms
102,THQ Nordic,Joint Operations: Combined Arms
103,La'Cryma,Kadenz fermata//Akkord:fortissimo
104,5pb.,Kadenz fermata//Akkord:fortissimo
105,Titus Software,Worms World Party
106,Virgin Interactive Entertainment (Europe) Ltd.,Worms World Party
107,The Code Monkeys,Worms World Party
108,Fluid Studios,Worms World Party
109,Nokia,Worms World Party
110,Paragon 5,Worms World Party
111,Team17,Worms World Party
112,Ghostlight Ltd.,Dancing on Ice
113,Koei,Winning Post 7: Maximum 2007
114,VRIDGE,Storm Lover 2nd
115,D3 Publisher,Storm Lover 2nd
116,Microsoft Game Studios,Gears of War
117,People Can Fly,Gears of War
118,Epic Games,Gears of War
119,Konami,Dragon Booster
120,Capcom,Gaist Crusher God
121,Treasure,Gaist Crusher God
122,Deep Silver,DJ Star
123,HuneX,Arcana Famiglia 2
124,Comfort,Arcana Famiglia 2
125,MC2,Post Mortem
126,Microids,Post Mortem
127,ENTERGRAM,Kiss Bell
128,Giga,Kiss Bell
129,TGL,Kiss Bell
130,Eden Studios,V-Rally 3
131,Eden Games,V-Rally 3
132,Infogrames Europe,V-Rally 3
133,Heavy Iron Studios,Wall-E
134,Asobo Studio,Wall-E
135,Play THQ,Wall-E
136,Paradox Interactive,Majesty 2: The Fantasy Kingdom Sim
137,TT Games,LEGO Star Wars II: The Original Trilogy
138,Feral Interactive,LEGO Star Wars II: The Original Trilogy
139,Robosoft Technologies,LEGO Star Wars II: The Original Trilogy
140,LucasArts,LEGO Star Wars II: The Original Trilogy
141,Traveller's Tales,LEGO Star Wars II: The Original Trilogy
142,Torus Games,Dead to Rights
143,Namco,Dead to Rights
144,Sega,Thunder Force VI
145,Tenky Co.,Full House Kiss 2
146,Capcom,Full House Kiss 2
147,Vicious Cycle Software,Dinotopia: The Sunstone Odyssey
148,TDK Mediactive,Dinotopia: The Sunstone Odyssey
149,Otomate,I Doll U
150,Idea Factory,I Doll U
151,Mad Doc Software,Star Trek: Legacy
152,Bethesda Softworks,Star Trek: Legacy
153,Anuman Interactive,Syberia II
154,Microïds,Syberia II
155,Tetraedge Games,Syberia II
156,Koalabs Studio,Syberia II
157,Nordic Games Publishing,Syberia II
158,XS Games,Syberia II
159,1C Company,Syberia II
160,ak tronic,Syberia II
161,Big Fish Games,Syberia II
162,BANDAI NAMCO Games Inc,Syberia II
163,Microïds Canada,Syberia II
164,MC2-Microïds,Syberia II
165,The Adventure Company,A Vampyre Story
166,Crimson Cow,A Vampyre Story
167,Autumn Moon Entertainment,A Vampyre Story
168,Electronic Arts,The Sims 4: Luxury Party Stuff
169,Maxis,The Sims 4: Luxury Party Stuff
170,MC2 France,Sniper Elite
171,Rebellion Developments,Sniper Elite
172,Namco Hometek,Sniper Elite
173,Reef Entertainment,Sniper Elite
174,MC2-Microïds,Sniper Elite
175,Paradox Interactive,Achtung Panzer: Kharkov 1943
176,Graviteam,Achtung Panzer: Kharkov 1943
177,Kadokawa Shoten,Sora no Otoshimono Forte: Dreamy Season
178,Otomate,Hiiro no Kakera Portable
179,Design Factory,Hiiro no Kakera Portable
