Index,Developer,Video_Game_Name
0,Visual Concepts,NBA 2K3
1,Sega,NBA 2K3
2,Feral Interactive,LEGO The Lord of the Rings
3,Traveller's Tales,LEGO The Lord of the Rings
4,WB Games,LEGO The Lord of the Rings
5,TT Fusion,LEGO The Lord of the Rings
6,Electronic Arts,The Simpsons: Road Rage
7,Radical Entertainment,The Simpsons: Road Rage
8,Acclaim Max Sports,Dave Mirra Freestyle BMX
9,Z-Axis Ltd.,Dave Mirra Freestyle BMX
10,EA Sports,EA Sports UFC
11,EA Canada,EA Sports UFC
12,Turn 10 Studios,Forza Motorsport
13,Microsoft Game Studios,Forza Motorsport
14,Sega,Virtua Tennis 3
15,Sega AM3,Virtua Tennis 3
16,Sumo Digital,Virtua Tennis 3
17,Electronic Arts,MVP Baseball 2003
18,EA Canada,MVP Baseball 2003
19,Nixxes Software,Legacy of Kain: Soul Reaver
20,Eidos Interactive,Legacy of Kain: Soul Reaver
21,Crystal Dynamics,Legacy of Kain: Soul Reaver
22,Square Enix,Legacy of Kain: Soul Reaver
23,Sony Computer Entertainment,Legacy of Kain: Soul Reaver
24,Tose,WWE SmackDown vs. Raw 2010
25,THQ,WWE SmackDown vs. Raw 2010
26,Yuke's,WWE SmackDown vs. Raw 2010
27,Wolf Team,Tales of Destiny
28,Namco,Tales of Destiny
29,Bandai Namco Entertainment,Sleeping Dogs
30,United Front Games,Sleeping Dogs
31,Square Enix London Studios,Sleeping Dogs
32,Square Enix,Sleeping Dogs
33,Climax Group,ATV: Quad Power Racing
34,Acclaim Entertainment,ATV: Quad Power Racing
35,Tomy,Naruto: Clash of Ninja 2
36,8ing,Naruto: Clash of Ninja 2
37,Raizing,Naruto: Clash of Ninja 2
38,Konami,Dance Dance Revolution SuperNOVA
39,Konami Computer Entertainment Tokyo,Dance Dance Revolution SuperNOVA
40,Rebellion Developments,Aliens vs Predator
41,Sega,Aliens vs Predator
42,Nintendo,Bomberman 64
43,Hudson Soft,Bomberman 64
44,Probe Entertainment,Jeremy McGrath Supercross 98
45,Acclaim Entertainment,Jeremy McGrath Supercross 98
46,Nintendo,F-Zero: Maximum Velocity
47,Nintendo R&D1,F-Zero: Maximum Velocity
48,NDCube,F-Zero: Maximum Velocity
49,Gradiente,F-Zero: Maximum Velocity
50,Sonic Team,Sonic the Hedgehog
51,Sega,Sonic the Hedgehog
52,Sega,Sonic & Sega All-Stars Racing
53,Sumo Digital,Sonic & Sega All-Stars Racing
54,EA Redwood Shores,Need for Speed: Most Wanted
55,EA Black Box,Need for Speed: Most Wanted
56,Electronic Arts,Need for Speed: Most Wanted
