Index,Developer,Video_Game_Name
0,Ensemble Studios,Age of Empires II: The Age of Kings
1,Microsoft,Age of Empires II: The Age of Kings
2,Konami,Age of Empires II: The Age of Kings
3,Capcom Production Studio 1,Devil May Cry 4
4,Capcom,Devil May Cry 4
5,THQ,MotoGP
6,Climax Racing,MotoGP
7,Take-Two Interactive,Scaler
8,Global Star Software,Scaler
9,A2M,Scaler
10,Bungie,Halo 2
11,Microsoft Game Studios,Halo 2
12,Pi Studios,Halo 2
13,2K Games,X-COM: UFO Defense
14,Mythos Games,X-COM: UFO Defense
15,"MicroProse Software, Inc.",X-COM: UFO Defense
16,Mediaquest,X-COM: UFO Defense
17,Treasure,Gradius V
18,Konami,Gradius V
19,G.rev,Gradius V
20,Vicious Cycle Software,Adventure Time: Finn & Jake Investigations
21,Little Orbit,Adventure Time: Finn & Jake Investigations
22,EA Los Angeles,Medal of Honor: Vanguard
23,Budcat Creations,Medal of Honor: Vanguard
24,Electronic Arts,Medal of Honor: Vanguard
25,"Sega Enterprises, Ltd.",World Cup '98 France: Road to Win
26,Konami,Pro Evolution Soccer 2013
27,Vivendi Universal Games,Barbie and the Magic of Pegasus
28,WayForward Technologies,Barbie and the Magic of Pegasus
29,Rockstar Games,Beaterator
30,Rockstar Leeds,Beaterator
31,Bandai,SD Gundam G Generation DS
32,DreamCatcher Interactive,Arcania: Gothic 4
33,CyberFront,Arcania: Gothic 4
34,JoWooD Entertainment AG,Arcania: Gothic 4
35,Spellbound Entertainment,Arcania: Gothic 4
36,Trinigy,Arcania: Gothic 4
37,Eighting,Bleach: Heat the Soul
38,Sony Computer Entertainment,Bleach: Heat the Soul
39,Compile Heart,MegaTagmension Blanc + Neptune VS Zombies
40,Tamsoft,MegaTagmension Blanc + Neptune VS Zombies
41,Idea Factory,MegaTagmension Blanc + Neptune VS Zombies
42,SCE London Studio,SingStar Guitar
43,SCE Worldwide Studios Europe,SingStar Guitar
44,THQ,Psychonauts
45,Double Fine Productions,Psychonauts
46,Budcat Creations,Psychonauts
47,Majesco Entertainment,Psychonauts
48,Xbox Game Studios,Psychonauts
49,The Game Factory,Code Lyoko: Quest for Infinity
50,Neko Entertainment,Code Lyoko: Quest for Infinity
51,Taffy Entertainment,Code Lyoko: Quest for Infinity
52,Namco,World Stadium 5
53,Ubisoft San Francisco,The Smurfs 2
54,Rovio Entertainment,Angry Birds: Rio
55,HB Studios Multimedia Ltd.,Backyard Sports: Sandlot Sluggers
56,"Atari, Inc.",Backyard Sports: Sandlot Sluggers
57,Nippon Ichi Software,Uta no Prince-Sama: Debut
