Index,Developer,Video_Game_Name
0,Nintendo,Metroid II: Return of Samus
1,Nintendo R&D1,Metroid II: Return of Samus
2,Playtronic,Metroid II: Return of Samus
3,THQ,UFC 2009 Undisputed
4,Heavy Iron Studios,The SpongeBob SquarePants Movie
5,THQ,The SpongeBob SquarePants Movie
6,Nintendo,Golden Sun
7,Camelot Software Planning,Golden Sun
8,Sonic Team,Sonic the Hedgehog 3
9,Sega,Sonic the Hedgehog 3
10,Tec Toy,Sonic the Hedgehog 3
11,Sega Technical Institute,Sonic the Hedgehog 3
12,Electronic Arts,Def Jam: Fight for NY
13,AKI Corporation,Def Jam: Fight for NY
14,EA Canada,Def Jam: Fight for NY
15,Red Storm Entertainment,Tom Clancy's Ghost Recon
16,Ubisoft Entertainment,Tom Clancy's Ghost Recon
17,Rockstar Games,State of Emergency
18,VIS Entertainment,State of Emergency
19,Electronic Arts,The Urbz: Sims in the City
20,Maxis,The Urbz: Sims in the City
21,Disney Interactive,Star Wars: Starfighter
22,LucasArts,Star Wars: Starfighter
23,Pandemic Studios,Star Wars: Battlefront
24,LucasArts,Star Wars: Battlefront
25,Beenox,Star Wars: Battlefront
26,Aspyr Media,Star Wars: Battlefront
27,Konami Computer Entertainment Tokyo,Pro Evolution Soccer
28,Konami,Pro Evolution Soccer
29,EA Sports,Madden NFL 17
30,EA Orlando,Madden NFL 17
31,Avalanche Studios,Just Cause 2
32,Eidos Interactive,Just Cause 2
33,Capcom,Disney's Aladdin
34,Gradiente,Disney's Aladdin
35,Playtronic,Disney's Aladdin
36,Nintendo,Kirby's Adventure
37,HAL Laboratory,Kirby's Adventure
38,Playtronic,Kirby's Adventure
39,ZeniMax Online Studios,The Elder Scrolls Online
40,Bethesda Softworks,The Elder Scrolls Online
41,EA Canada,FIFA Soccer 08
42,EA Sports,FIFA Soccer 08
43,Microsoft Game Studios,Crackdown
44,Realtime Worlds,Crackdown
45,Nintendo,Wii Party U
46,NDCube,Wii Party U
47,Nintendo SPD,Wii Party U
48,Konami,Dance Dance Revolution X
49,Konami Digital Entertainment,Dance Dance Revolution X
50,THQ,2 Games in 1: Disney Princess & The Lion King
51,Disney Interactive Studios,Kingdom Hearts
52,Square Enix,Kingdom Hearts
53,Square Enix 1st Production Department,Kingdom Hearts
54,Big Ape Productions,Star Wars Episode I: The Phantom Menace
55,LucasArts,Star Wars Episode I: The Phantom Menace
56,Monolith Soft,Xenosaga Episode I: Der Wille zur Macht
57,Namco,Xenosaga Episode I: Der Wille zur Macht
58,Ubisoft Montreal,Watch Dogs
59,Ubisoft Entertainment,Watch Dogs
60,Terminal Reality,Kinect Star Wars
61,LucasArts,Kinect Star Wars
62,Microsoft Studios,Kinect Star Wars
63,Capcom,Dragon's Dogma
64,Williams Entertainment,Cruis'n USA
65,Midway Games,Cruis'n USA
66,Nintendo,Cruis'n USA
67,Playtronic,Cruis'n USA
68,EA Sports,Madden NFL 99
69,EA Orlando,Madden NFL 99
70,Ready At Dawn,The Order: 1886
71,Sony Computer Entertainment,The Order: 1886
72,SCE Santa Monica Studio,The Order: 1886
73,EA Canada,SSX Tricky
74,EA Sports BIG,SSX Tricky
75,SCE Japan Studio,Knack
76,Sony Computer Entertainment,Knack
77,989 Studios,Twisted Metal III
78,ArtePiazza,Dragon Quest VI: Realms of Revelation
79,Square Enix,Dragon Quest VI: Realms of Revelation
80,Nintendo,Dragon Quest VI: Realms of Revelation
81,Square Enix Business Division 8,Dragon Quest VI: Realms of Revelation
82,Vicarious Visions,Crash Bandicoot: The Huge Adventure
83,Universal Interactive Studios,Crash Bandicoot: The Huge Adventure
84,Konami,Crash Bandicoot: The Huge Adventure
85,Square Enix,Hitman: Absolution
86,IO Interactive,Hitman: Absolution
87,Feral Interactive,Hitman: Absolution
88,Ivory Tower,The Crew
89,Ubisoft Reflections,The Crew
90,Ubisoft Entertainment,The Crew
91,Rebellion Developments,Call of Duty: World at War Final Fronts
92,Activision Publishing,Call of Duty: World at War Final Fronts
93,Visual Concepts,NBA 2K15
94,2K Sports,NBA 2K15
95,Budcat Creations,Madden NFL 2005
96,EA Sports,Madden NFL 2005
97,EA Orlando,Madden NFL 2005
98,tri-Ace,Star Ocean: Till The End of Time
99,Enix Corporation,Star Ocean: Till The End of Time
100,Square Enix,Star Ocean: Till The End of Time
101,Raven Software,Call of Duty: Modern Warfare 3
102,Sledgehammer Games,Call of Duty: Modern Warfare 3
103,Infinity Ward,Call of Duty: Modern Warfare 3
104,Activision,Call of Duty: Modern Warfare 3
105,Arkane Studios,Dishonored
106,Bethesda Softworks,Dishonored
107,MTV Games,The Beatles: Rock Band
108,Harmonix Music Systems,The Beatles: Rock Band
109,Pi Studios,The Beatles: Rock Band
110,Namco,Ace Combat 5: The Unsung War
111,Project Aces,Ace Combat 5: The Unsung War
112,Bandai Namco Entertainment,Ace Combat 5: The Unsung War
113,Sony Computer Entertainment,Ace Combat 5: The Unsung War
114,EA Black Box,Need for Speed Underground
115,Electronic Arts,Need for Speed Underground
116,THQ,Tetris Worlds
117,Magic Pockets,Imagine: Teacher
118,Treyarch,Call of Duty: Black Ops 3
119,Activision,Call of Duty: Black Ops 3
120,Beenox,Call of Duty: Black Ops 3
121,Sony Interactive Entertainment,Call of Duty: Black Ops 3
122,Microsoft,Call of Duty: Black Ops 3
123,Mercenary Technology,Call of Duty: Black Ops 3
124,Destination Software,Deal or No Deal
125,Gravity-i,Deal or No Deal
126,EA Sports,FIFA Soccer 10
127,HB Studios,FIFA Soccer 10
128,Valve,Portal 2
129,Electronic Arts,Portal 2
130,EA Sports,NCAA Football 07
131,EA Orlando,NCAA Football 07
132,505 Games,No Man's Sky
133,Sony Interactive Entertainment,No Man's Sky
134,Hello Games,No Man's Sky
135,D3 Publisher,Ben 10: Protector of Earth
136,High Voltage Software,Ben 10: Protector of Earth
137,Activision,Cabela's Big Game Hunter 2010
138,Zipper Interactive,SOCOM 3: U.S. Navy SEALs
139,Sony Computer Entertainment,SOCOM 3: U.S. Navy SEALs
140,Virtual Programming,BioShock Infinite
141,Aspyr Media,BioShock Infinite
142,2K Games,BioShock Infinite
143,Irrational Games,BioShock Infinite
144,2K Australia,BioShock Infinite
145,Human Head Studios,BioShock Infinite
146,Treyarch,Call of Duty: Black Ops 3
147,Activision,Call of Duty: Black Ops 3
